"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"52","289.4123330633858","53.1516949149368","0.0191650390625","0.03173828125","0.006591796875","2280","0.00033543392157336634","32","0.00033543392157336634","0","0.00033543392157336634","0.00033543392157336634","51:0.0024346943131471344;53:0.0014910467953625772","51:68;53:68","51:0.0019409110233169213;53:0.0013089725493681814","0.0191650390625","0.010498046875","Yes"
"53","149.2013445376525","38.17761721348051","0.0054931640625","0.0068359375","0.004150390625","2280","0.0001322807630339274","32","0.0001322807630339274","0","0.0001322807630339274","0.0001322807630339274","39:0.0013485052402352204;52:0.0014910467953625772;54:0.0009454088046225162","39:68;52:68;54:68","39:0.0011789012644013996;52:0.0013089725493681814;54:0.0014924486357108802","0.0054931640625","0.004150390625","Yes"
"54","356.019477095534","208.78561685659187","0.0247802734375","0.03759765625","0.011962890625","2280","0.0002450146797484413","32","0.0002450146797484413","0","0.0002450146797484413","0.0002450146797484413","53:0.0009454088046225162;55:0.00326991815166075","53:68;55:68","53:0.0014924486357108802;55:0.001743536735380885","0.0247802734375","0.114990234375","Yes"
"55","263.3169369925482","94.14902769974307","0.00732421875","0.006591796875","0.008056640625","2280","0.00014665469645164133","32","0.00014665469645164133","0","0.00014665469645164133","0.00014665469645164133","59:0.0009158993139087579;54:0.00326991815166075","59:68;54:68","59:0.0008815449359312888;54:0.001743536735380885","0.00732421875","0.0087890625","Yes"
"56","336.6638690829723","35.17988023391298","0.0128173828125","0.01416015625","0.011474609375","2280","0.00038078126484953896","32","0.00038078126484953896","0","0.00038078126484953896","0.00038078126484953896","63:0.0018800024985043129;43:0.0024817311194713643","63:68;43:68","63:0.00218076469541878;43:0.0020930774337536984","0.0128173828125","0.0185546875","Yes"
"57","196.17234466084318","222.04663205094778","0.006591796875","0.00927734375","0.00390625","2280","0.00022940258031891613","32","0.00022940258031891613","0","0.00022940258031891613","0.00022940258031891613","47:0.0014121626050811742;67:0.0024212253725726107","47:68;67:68","47:0.0014459580635745317;67:0.0017633796626192189","0.006591796875","0.017578125","Yes"
"58","284.8114680964742","150.00250470744535","0.0126953125","0.004150390625","0.021240234375","2280","0.00022676529412004074","32","0.00022676529412004074","0","0.00022676529412004074","0.00022676529412004074","71:0.0013283332210852483;51:0.001779846307547489","71:68;51:68","71:0.0011653250463788678;51:0.001456305608056374","0.0126953125","0.498046875","Yes"
"59","323.9028422269129","383.0627009370018","0.0091552734375","0.013427734375","0.0048828125","2280","0.00021079332315643884","32","0.00021079332315643884","0","0.00021079332315643884","0.00021079332315643884","55:0.0009158993139087579;75:0.0012318731953144257","55:68;75:68","55:0.0008815449359312888;75:0.0013490550133738177","0.0091552734375","0.007080078125","Yes"
"60","167.21237064427777","33.06386725342462","0.00439453125","0.005126953125","0.003662109375","2280","0.0004545190495098579","32","0.0004545190495098579","0","0.0004545190495098579","0.0004545190495098579","61:0.002659209868765916","61:68","61:0.0025583736607405205","0.00439453125","0.01171875","Yes"
"61","179.11024265884691","46.167051893405834","0.009033203125","0.0107421875","0.0078125","2280","0.0003413903578616381","32","0.0003413903578616381","0","0.0003413903578616381","0.0003413903578616381","76:0.0022734573795184787;60:0.002659209868765916;62:0.0015971560471243762","76:68;60:68;62:68","76:0.002293539945845219;60:0.0025583736607405205;62:0.0018133833302485802","0.009033203125","0.005859375","Yes"
