"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"67","388.08763385081636","120.65998802364392","0.0714111328125","0.06298828125","0.079833984375","2584","0.00024211211593393243","36","0.00024211211593393243","0","0.00024211211593393243","0.00024211211593393243","68:0.021376305127151246;57:0.002434284394180697;66:0.0023614979499089195","68:68;57:68;66:68","68:0.002903863243715027;57:0.001961603351335134;66:0.002067171913205823","0.0714111328125","Yes"
"68","133.777431636252","21.543187944816","0.06787109375","0.1220703125","0.013671875","2584","0.00630776458387952","36","0.00630776458387952","0","0.00630776458387952","0.00630776458387952","67:0.021376305127151246;69:0.022762585785737255","67:68;69:68","67:0.002903863243715027;69:0.003000850944200689","0.06787109375","Yes"
"69","174.5410664471305","19.327706505747777","0.0263671875","0.03076171875","0.02197265625","2584","0.00018139626837404923","36","0.00018139626837404923","0","0.00018139626837404923","0.00018139626837404923","78:0.0018021717888481448;68:0.022762585785737255;70:0.0016803090955248567","78:68;68:68;70:80","78:0.0027127931121669058;68:0.003000850944200689;70:0.002792674724796357","0.0263671875","Yes"
"70","150.14921930908005","19.856441274622313","0.018798828125","0.024658203125","0.012939453125","2584","0.00020852102801906998","36","0.00020852102801906998","0","0.00020852102801906998","0.00020852102801906998","69:0.0016803090955248567;71:0.0018434883166914828","69:80;71:68","69:0.002792674724796357;71:0.001950499609480738","0.018798828125","Yes"
"71","95.5707431235805","87.52276039572105","0.006591796875","0.01025390625","0.0029296875","2584","0.0003105606110909841","36","0.0003105606110909841","0","0.0003105606110909841","0.0003105606110909841","72:0.0033779209169159663;58:0.002002949685060651;70:0.0018434883166914828","72:68;58:68;70:68","72:0.0023889895864746546;58:0.003786751444726816;70:0.001950499609480738","0.006591796875","Yes"
"72","105.48076027784847","19.802351209800822","0.0101318359375","0.01318359375","0.007080078125","2584","0.00056773454982691","36","0.00056773454982691","0","0.00056773454982691","0.00056773454982691","73:0.0038394264390815835;71:0.0033779209169159663","73:68;71:68","73:0.0033872091885187305;71:0.0023889895864746546","0.0101318359375","Yes"
"73","229.00681147780966","79.06025619789018","0.02001953125","0.02685546875","0.01318359375","2584","0.0003663196481303917","36","0.0003663196481303917","0","0.0003663196481303917","0.0003663196481303917","72:0.0038394264390815835;74:0.0030989084321794425;79:0.0025520660791994443","72:68;74:68;79:68","72:0.0033872091885187305;74:0.002926650236850681;79:0.002367189379379131","0.02001953125","Yes"
"74","124.01063273349206","14.172433751327423","0.0181884765625","0.028076171875","0.00830078125","2584","0.000281041549154196","36","0.000281041549154196","0","0.000281041549154196","0.000281041549154196","73:0.0030989084321794425;75:0.0020822946053479507","73:68;75:68","73:0.002926650236850681;75:0.001960921605708349","0.0181884765625","Yes"
"75","331.6772278456159","221.93741901363802","0.0069580078125","0.0087890625","0.005126953125","2584","0.00031822074152204654","36","0.00031822074152204654","0","0.00031822074152204654","0.00031822074152204654","59:0.001433575321795083;74:0.0020822946053479507","59:68;74:68","59:0.0028610649816394607;74:0.001960921605708349","0.0069580078125","Yes"
"76","85.31487390602163","52.477203514107","0.02001953125","0.016357421875","0.023681640625","2584","0.0006379242401318442","36","0.0006379242401318442","0","0.0006379242401318442","0.0006379242401318442","81:0.005151258818464399;61:0.004149431232316425","81:68;61:68","81:0.005536919202426854;61:0.0023143095022920834","0.02001953125","Yes"
