"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"75","180.67516554285945","157.6621900185621","0.009521484375","0.01171875","0.00732421875","1560","0.00035238171401846233","24","0.00035238171401846233","0","0.00035238171401846233","0.00035238171401846233","59:68;74:68","59:0.0027337117525518817;74:0.0023684728535198485","59:0.0027469098760824484;74:0.00224605715031459","0.009521484375","Yes"
"76","155.97870252784625","96.48661661558081","0.034423828125","0.03515625","0.03369140625","1560","0.0005405088641348757","24","0.0005405088641348757","0","0.0005405088641348757","0.0005405088641348757","81:68;61:68","81:0.001910771784192078;61:0.0026914065677080268","81:0.0018534673104033395;61:0.004252828435438977","0.034423828125","Yes"
"77","160.9865911898861","47.34927240211494","0.014404296875","0.015625","0.01318359375","1560","0.0003474787800604101","24","0.0003474787800604101","0","0.0003474787800604101","0.0003474787800604101","85:68;65:68","85:0.003191785935894087;65:0.004764730689993363","85:0.002375944444729078;65:0.0033001866116127154","0.014404296875","Yes"
"78","116.59764186393689","107.09995738214973","0.013916015625","0.01611328125","0.01171875","1560","0.0003607901907816735","24","0.0003607901907816735","0","0.0003607901907816735","0.0003607901907816735","69:68;89:68","69:0.002701516332936582;89:0.0035211905862778115","69:0.0017225857086611285;89:0.0033908745389327477","0.013916015625","Yes"
"79","123.19028300475416","54.09278716897958","0.015625","0.025390625","0.005859375","1560","0.0002347487500654018","24","0.0002347487500654018","0","0.0002347487500654018","0.0002347487500654018","93:68;73:68","93:0.0032772128330603445;73:0.0042771324445338155","93:0.002286385519606693;73:0.0023688385216090735","0.015625","Yes"
"80","127.66554375332224","93.13204630235943","0.014892578125","0.0166015625","0.01318359375","1560","0.00036347220286086156","24","0.00036347220286086156","0","0.00036347220286086156","0.00036347220286086156","81:68","81:0.0018670566579321868","81:0.0027140794187553996","0.014892578125","Yes"
"81","165.2694424144831","18.463551125745134","0.05126953125","0.04541015625","0.05712890625","1560","0.00016425820301422866","24","0.00016425820301422866","0","0.00016425820301422866","0.00016425820301422866","80:68;82:68;76:68","80:0.0018670566579321868;82:0.0024033914804007517;76:0.001910771784192078","80:0.0027140794187553996;82:0.0017665867464922713;76:0.0018534673104033395","0.05126953125","Yes"
"82","128.79966689388678","31.229579406462168","0.0146484375","0.01953125","0.009765625","1560","0.00028965698452069203","24","0.00028965698452069203","0","0.00028965698452069203","0.00028965698452069203","81:68;83:68","81:0.0024033914804007517;83:0.006211331286957972","81:0.0017665867464922713;83:0.0021535850043519766","0.0146484375","Yes"
"83","177.08337111980643","201.58085497740245","0.1484375","0.13916015625","0.15771484375","1560","0.00030471305130544684","24","0.00030471305130544684","0","0.00030471305130544684","0.00030471305130544684","96:68;82:68;84:68","96:0.0023283571875928333;82:0.006211331286957972;84:0.0031913467890815894","96:0.0020779603638986233;82:0.0021535850043519766;84:0.0029804912217031854","0.1484375","Yes"
"84","152.78631435172213","148.3906794827571","0.005859375","0.00927734375","0.00244140625","1560","0.00022049656908961559","24","0.00022049656908961559","0","0.00022049656908961559","0.00022049656908961559","83:68;85:68","83:0.0031913467890815894;85:0.0023244230881738492","83:0.0029804912217031854;85:0.0022531118702790454","0.005859375","Yes"
